filname, time (UTC),avg0,s0,c0,avg1,s1,c1
1588446001.jpg,2020-05-02 19:00:00,115,2.8, 44.7,94,2.4, 26.8
1600887601.jpg,2020-09-23 19:00:00,107,2.8, 56.6,109,3.0, 45.1
1588336201.jpg,2020-05-01 12:30:00,109,1.0, 54.8,108,1.0, 51.5
1594724401.jpg,2020-07-14 11:00:00,113,3.6, 51.7,123,4.0, 65.0
1583960401.jpg,2020-03-11 21:00:00,72,1.2, 29.8,74,1.6, 22.8
1601308801.jpg,2020-09-28 16:00:00,90,1.7, 41.1,90,2.0, 31.9
1604840401.jpg,2020-11-08 13:00:00,98,2.6, 42.2,102,2.8, 57.0
1588611601.jpg,2020-05-04 17:00:00,105,2.6, 31.2,93,2.3, 24.9
1593810001.jpg,2020-07-03 21:00:00,69,0.7, 31.4,69,0.7, 27.4
1593196201.jpg,2020-06-26 18:30:00,112,3.3, 51.6,106,3.3, 44.0
1594225801.jpg,2020-07-08 16:30:00,102,3.1, 46.2,101,3.3, 46.1
1596796201.jpg,2020-08-07 10:30:00,103,2.8, 39.9,104,2.8, 61.9
1585324801.jpg,2020-03-27 16:00:00,96,0.9, 25.5,95,1.0, 24.0
1578600001.jpg,2020-01-09 20:00:00,107,1.9, 77.8,110,2.0, 75.2
1598029201.jpg,2020-08-21 17:00:00,100,1.8, 33.9,95,1.6, 28.1
1590919201.jpg,2020-05-31 10:00:00,94,2.6, 56.7,96,2.8, 58.2
1600165801.jpg,2020-09-15 10:30:00,145,0.7, 44.5,141,0.6, 48.1
1596036601.jpg,2020-07-29 15:30:00,103,2.7, 43.7,99,3.0, 41.8
1591477201.jpg,2020-06-06 21:00:00,78,0.5, 25.0,82,0.5, 27.6
1591482601.jpg,2020-06-06 22:30:00,101,0.6, 50.2,101,0.6, 45.6
1578765601.jpg,2020-01-11 18:00:00,108,1.4, 54.1,112,2.0, 75.7
